"ID","Cluster"
"1","4"
"2","4"
"3","4"
"4","4"
"5","4"
"6","4"
"7","4"
"8","4"
"9","4"
"10","4"
"11","4"
"12","4"
"13","4"
"14","4"
"15","4"
"16","4"
"17","4"
"18","4"
"19","4"
"20","4"
"21","4"
"22","4"
"23","4"
"24","4"
"25","4"
"26","4"
"27","4"
"28","4"
"29","4"
"30","4"
"31","4"
"32","4"
"33","4"
"34","4"
"35","4"
"36","4"
"37","4"
"38","4"
"39","4"
"40","4"
"41","4"
"42","4"
"43","4"
"44","4"
"45","4"
"46","4"
"47","4"
"48","4"
"49","4"
"50","4"
"51","4"
"52","4"
"53","4"
"54","4"
"55","4"
"56","4"
"57","4"
"58","4"
"59","4"
"60","4"
"61","4"
"62","4"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","4"
"71","4"
"72","4"
"73","4"
"74","4"
"75","4"
"76","4"
"77","4"
"78","4"
"79","4"
"80","4"
"81","4"
"82","4"
"83","4"
"84","4"
"85","4"
"86","4"
"87","4"
"88","4"
"89","4"
"90","2"
"91","4"
"92","4"
"93","4"
"94","4"
"95","2"
"96","2"
"97","2"
"98","4"
"99","4"
"100","4"
"101","4"
"102","4"
"103","2"
"104","4"
"105","4"
"106","1"
"107","2"
"108","4"
"109","4"
"110","4"
"111","2"
"112","4"
"113","4"
"114","2"
"115","2"
"116","2"
"117","2"
"118","4"
"119","4"
"120","2"
"121","4"
"122","2"
"123","2"
"124","4"
"125","2"
"126","4"
"127","2"
"128","2"
"129","2"
"130","4"
"131","4"
"132","4"
"133","4"
"134","2"
"135","2"
"136","4"
"137","2"
"138","2"
"139","4"
"140","2"
"141","4"
"142","2"
"143","2"
"144","4"
"145","2"
"146","2"
"147","2"
"148","4"
"149","2"
"150","4"
"151","4"
"152","4"
"153","2"
"154","2"
"155","4"
"156","4"
"157","4"
"158","4"
"159","2"
"160","4"
"161","2"
"162","2"
"163","4"
"164","4"
"165","2"
"166","4"
"167","4"
"168","2"
"169","2"
"170","4"
"171","2"
"172","2"
"173","4"
"174","4"
"175","4"
"176","4"
"177","4"
"178","4"
"179","2"
"180","2"
"181","2"
"182","2"
"183","2"
"184","4"
"185","4"
"186","2"
"187","4"
"188","2"
"189","2"
"190","3"
"191","3"
"192","2"
"193","2"
"194","3"
"195","1"
"196","2"
"197","3"
"198","3"
"199","3"
"200","4"
"201","3"
"202","3"
"203","3"
"204","2"
"205","3"
"206","3"
"207","4"
"208","3"
"209","3"
"210","3"
"211","4"
"212","3"
"213","3"
"214","2"
"215","3"
"216","3"
"217","2"
"218","3"
"219","4"
"220","3"
"221","3"
"222","3"
"223","3"
"224","3"
"225","3"
"226","3"
"227","3"
"228","2"
"229","3"
"230","3"
"231","3"
"232","2"
"233","3"
"234","3"
"235","3"
"236","3"
"237","2"
"238","3"
"239","3"
"240","3"
"241","3"
"242","3"
"243","3"
"244","3"
"245","3"
"246","3"
"247","3"
"248","4"
"249","3"
"250","3"
"251","3"
"252","2"
"253","3"
"254","3"
"255","3"
"256","3"
"257","3"
"258","3"
"259","3"
"260","3"
"261","3"
"262","3"
"263","2"
"264","3"
"265","3"
"266","3"
"267","3"
"268","3"
"269","3"
"270","3"
"271","3"
"272","3"
"273","3"
"274","3"
"275","3"
"276","3"
"277","3"
"278","3"
"279","3"
"280","2"
"281","3"
"282","2"
"283","2"
"284","3"
"285","3"
"286","3"
"287","1"
"288","2"
"289","1"
"290","1"
"291","1"
"292","1"
"293","1"
"294","1"
"295","1"
"296","1"
"297","1"
"298","1"
"299","1"
"300","2"
"301","1"
"302","1"
"303","1"
"304","1"
"305","1"
"306","1"
"307","3"
"308","1"
"309","2"
"310","1"
"311","2"
"312","2"
"313","1"
"314","2"
"315","1"
"316","1"
"317","1"
"318","2"
"319","2"
"320","1"
"321","1"
"322","1"
"323","1"
"324","1"
"325","1"
"326","1"
"327","1"
"328","2"
"329","2"
"330","1"
"331","1"
"332","1"
"333","1"
"334","1"
"335","1"
"336","1"
"337","2"
"338","1"
"339","2"
"340","2"
"341","1"
"342","1"
"343","1"
"344","1"
"345","1"
"346","1"
"347","1"
"348","2"
"349","1"
"350","2"
"351","1"
"352","2"
"353","1"
"354","2"
"355","1"
"356","1"
"357","2"
"358","1"
"359","1"
"360","2"
"361","1"
"362","1"
"363","1"
"364","1"
"365","1"
"366","1"
"367","1"
"368","1"
"369","2"
"370","2"
"371","1"
"372","1"
"373","2"
"374","1"
"375","1"
"376","1"
"377","1"
"378","1"
"379","1"
"380","1"
"381","2"
"382","2"
"383","1"
"384","1"
"385","1"
"386","1"
"387","2"
"388","2"
"389","1"
"390","1"
"391","2"
"392","2"
"393","1"
"394","1"
"395","2"
"396","1"
"397","1"
"398","1"
"399","1"
"400","1"
