"ID","Cluster"
"1","3"
"2","2"
"3","2"
"4","2"
"5","3"
"6","2"
"7","2"
"8","3"
"9","3"
"10","1"
"11","2"
"12","1"
"13","2"
"14","3"
"15","1"
"16","1"
"17","1"
"18","2"
"19","3"
"20","2"
"21","2"
"22","1"
"23","3"
"24","2"
"25","2"
"26","3"
"27","3"
"28","3"
"29","3"
"30","3"
"31","1"
"32","2"
"33","1"
"34","1"
"35","2"
"36","3"
"37","3"
"38","3"
"39","3"
"40","1"
"41","1"
"42","2"
"43","3"
"44","3"
"45","3"
"46","2"
"47","1"
"48","3"
"49","3"
"50","1"
"51","3"
"52","3"
"53","3"
"54","1"
"55","1"
"56","2"
"57","3"
"58","1"
"59","2"
"60","2"
"61","2"
"62","1"
"63","3"
"64","2"
"65","3"
"66","3"
"67","3"
"68","3"
"69","2"
"70","3"
"71","3"
"72","1"
"73","1"
"74","2"
"75","1"
"76","3"
"77","3"
"78","3"
"79","1"
"80","1"
"81","3"
"82","2"
"83","1"
"84","2"
"85","2"
"86","2"
"87","1"
"88","3"
"89","1"
"90","3"
"91","1"
"92","1"
"93","1"
"94","3"
"95","1"
"96","1"
"97","3"
"98","3"
"99","3"
"100","3"
"101","2"
"102","3"
"103","3"
"104","2"
"105","3"
"106","2"
"107","2"
"108","2"
"109","1"
"110","1"
"111","2"
"112","1"
"113","1"
"114","2"
"115","2"
"116","2"
"117","2"
"118","3"
"119","2"
"120","1"
"121","1"
"122","2"
"123","3"
"124","3"
"125","1"
"126","1"
"127","3"
"128","3"
"129","3"
"130","3"
"131","1"
"132","1"
"133","1"
"134","3"
"135","3"
"136","2"
"137","2"
"138","2"
"139","1"
"140","1"
"141","2"
"142","2"
"143","2"
"144","3"
"145","2"
"146","1"
"147","1"
"148","1"
"149","3"
"150","2"
"151","3"
"152","1"
"153","1"
"154","1"
"155","1"
"156","1"
"157","1"
"158","1"
"159","3"
"160","1"
"161","3"
"162","3"
"163","3"
"164","1"
"165","1"
"166","1"
"167","1"
"168","2"
"169","2"
"170","2"
"171","3"
"172","3"
"173","3"
"174","2"
"175","3"
"176","2"
"177","3"
"178","3"
"179","3"
"180","2"
"181","2"
"182","1"
"183","2"
"184","2"
"185","2"
"186","1"
"187","2"
"188","3"
"189","1"
"190","1"
"191","1"
"192","2"
"193","1"
"194","3"
"195","3"
"196","1"
"197","2"
"198","3"
"199","1"
"200","3"
"201","3"
"202","1"
"203","2"
"204","2"
"205","2"
"206","3"
"207","3"
"208","1"
"209","1"
"210","3"
"211","3"
"212","2"
"213","3"
"214","2"
"215","2"
"216","1"
"217","2"
"218","2"
"219","2"
"220","1"
"221","2"
"222","1"
"223","3"
"224","3"
"225","2"
"226","2"
"227","1"
"228","3"
"229","2"
"230","3"
"231","1"
"232","2"
"233","2"
"234","3"
"235","3"
"236","2"
"237","2"
"238","2"
"239","2"
"240","3"
"241","2"
"242","3"
"243","1"
"244","3"
"245","3"
"246","3"
"247","2"
"248","1"
"249","3"
"250","3"
"251","2"
"252","2"
"253","3"
"254","1"
"255","2"
"256","1"
"257","3"
"258","2"
"259","2"
"260","3"
"261","2"
"262","2"
"263","3"
"264","2"
"265","3"
"266","3"
"267","2"
"268","2"
"269","3"
"270","3"
"271","2"
"272","3"
"273","2"
"274","3"
"275","1"
