"Trans. ID","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class"
"8215.0","27","9.916666666666666"," <=50K","57","10.5"," <=50K","67","10.75"," <=50K","8","48.916666666666664"," >50K","29","103.08333333333333"," <=50K"
"4333.0","56","14.833333333333332"," >50K","41","17.0"," <=50K","90","39.58333333333333"," >50K","43","156.0"," <=50K","68","159.58333333333331"," <=50K"
"12954.0","79","9.166666666666666"," <=50K","91","24.666666666666664"," <=50K","9","35.83333333333333"," >50K","10","68.41666666666666"," <=50K","82","116.58333333333333"," <=50K"
"9183.0","7","12.416666666666666"," <=50K","59","19.583333333333332"," >50K","58","44.5"," <=50K","67","79.66666666666666"," <=50K","8","124.5"," >50K"
"24392.0","12","18.916666666666664"," <=50K","2","48.5"," >50K","19","77.83333333333333"," <=50K","89","81.83333333333333"," <=50K","93","125.08333333333333"," <=50K"
"26160.0","49","20.416666666666664"," <=50K","4","44.416666666666664"," <=50K","80","44.83333333333333"," >50K","89","73.16666666666666"," <=50K","22","97.83333333333333"," <=50K"
"26460.0","80","20.416666666666664"," >50K","13","29.916666666666664"," <=50K","4","69.0"," <=50K","16","84.08333333333333"," >50K","66","92.66666666666666"," <=50K"
"22736.0","23","15.833333333333332"," <=50K","93","18.5"," <=50K","19","66.41666666666666"," <=50K","77","130.0"," <=50K","60","202.41666666666666"," <=50K"
"23758.0","2","14.0"," >50K","19","24.833333333333332"," <=50K","93","69.75"," <=50K","12","70.41666666666666"," <=50K","89","133.0"," <=50K"
"10442.0","50","3.833333333333333"," <=50K","5","33.0"," <=50K","71","41.33333333333333"," >50K","58","64.41666666666666"," <=50K","52","137.16666666666666"," <=50K"
"24919.0","12","29.0"," <=50K","89","34.916666666666664"," <=50K","4","65.83333333333333"," <=50K","19","120.75"," <=50K","80","149.58333333333331"," >50K"
"8953.0","59","5.083333333333333"," >50K","7","31.916666666666664"," <=50K","67","58.83333333333333"," <=50K","27","61.166666666666664"," <=50K","50","126.91666666666666"," <=50K"
"22209.0","23","60.33333333333333"," <=50K","93","63.5"," <=50K","92","72.5"," <=50K","25","109.0"," <=50K","60","157.41666666666666"," <=50K"
"30504.0","78","3.0"," <=50K","36","6.416666666666666"," <=50K","33","28.583333333333332"," <=50K","35","54.83333333333333"," <=50K","83","115.41666666666666"," <=50K"
"30556.0","78","4.083333333333333"," <=50K","36","10.166666666666666"," <=50K","54","28.583333333333332"," <=50K","47","34.33333333333333"," >50K","83","110.66666666666666"," <=50K"
"22913.0","23","3.083333333333333"," <=50K","93","5.583333333333333"," <=50K","19","50.83333333333333"," <=50K","77","144.41666666666666"," <=50K","89","203.33333333333331"," <=50K"
"27270.0","22","4.333333333333333"," <=50K","66","25.25"," <=50K","3","42.83333333333333"," <=50K","80","53.33333333333333"," >50K","4","138.58333333333331"," <=50K"
"23302.0","19","19.666666666666664"," <=50K","93","31.583333333333332"," <=50K","23","36.416666666666664"," <=50K","92","162.41666666666666"," <=50K","89","170.66666666666666"," <=50K"
"24480.0","12","10.5"," <=50K","2","54.25"," >50K","89","71.41666666666666"," <=50K","19","84.25"," <=50K","93","130.0"," <=50K"
"392.0","70","30.5"," <=50K","61","31.0"," <=50K","68","176.25"," <=50K","43","186.5"," <=50K","90","294.5833333333333"," >50K"
