"Trans. ID","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class","ID","Symm","Class"
"0","4","0.375","Iris-setosa","2","0.44999999999999996","Iris-setosa","3","0.4749999999999998","Iris-setosa","10","0.95","Iris-versicolor","5","0.9750000000000001","Iris-versicolor"
"1","3","0.09999999999999998","Iris-setosa","2","0.1749999999999999","Iris-setosa","7","0.75","Iris-versicolor","4","0.8499999999999999","Iris-setosa","10","0.9750000000000001","Iris-versicolor"
"2","1","0.1749999999999999","Iris-setosa","3","0.2749999999999999","Iris-setosa","0","0.44999999999999996","Iris-setosa","4","0.825","Iris-setosa","7","0.8749999999999998","Iris-versicolor"
"3","1","0.09999999999999998","Iris-setosa","2","0.2749999999999999","Iris-setosa","0","0.4749999999999998","Iris-setosa","7","0.6499999999999999","Iris-versicolor","4","0.7499999999999998","Iris-setosa"
"4","0","0.375","Iris-setosa","3","0.7499999999999998","Iris-setosa","5","0.75","Iris-versicolor","2","0.825","Iris-setosa","9","0.825","Iris-versicolor"
"5","3","0.2499999999999999","Iris-setosa","0","0.27499999999999997","Iris-setosa","1","0.34999999999999987","Iris-setosa","4","0.49999999999999994","Iris-setosa","10","0.7750000000000001","Iris-versicolor"
"6","0","0.25000000000000006","Iris-setosa","4","0.37500000000000006","Iris-setosa","2","0.55","Iris-setosa","3","0.7249999999999999","Iris-setosa","5","1.125","Iris-versicolor"
"7","4","0.17499999999999993","Iris-setosa","0","0.2499999999999999","Iris-setosa","2","0.65","Iris-setosa","5","0.8750000000000001","Iris-versicolor","9","0.9500000000000001","Iris-versicolor"
"8","3","0.14999999999999997","Iris-setosa","1","0.2","Iris-setosa","0","0.32499999999999984","Iris-setosa","4","0.6499999999999998","Iris-setosa","7","0.7999999999999999","Iris-versicolor"
"9","3","0.3000000000000001","Iris-setosa","0","0.3749999999999998","Iris-setosa","1","0.4000000000000001","Iris-setosa","4","0.44999999999999973","Iris-setosa","10","0.625","Iris-versicolor"
"10","3","0.2999999999999998","Iris-setosa","1","0.3999999999999998","Iris-setosa","4","0.45","Iris-setosa","2","0.5249999999999999","Iris-setosa","7","0.6999999999999997","Iris-versicolor"
"11","0","0.15000000000000008","Iris-setosa","2","0.3500000000000002","Iris-setosa","1","0.375","Iris-setosa","4","0.4749999999999998","Iris-setosa","3","0.475","Iris-setosa"
"12","3","0.15000000000000002","Iris-setosa","1","0.25","Iris-setosa","0","0.37499999999999983","Iris-setosa","4","0.5999999999999999","Iris-setosa","7","0.75","Iris-versicolor"
"13","0","0.19999999999999996","Iris-setosa","2","0.25","Iris-setosa","1","0.27499999999999986","Iris-setosa","3","0.27499999999999986","Iris-setosa","4","0.575","Iris-setosa"
"14","0","0.17500000000000016","Iris-setosa","4","0.19999999999999984","Iris-setosa","3","0.55","Iris-setosa","5","0.7999999999999999","Iris-versicolor","10","0.8250000000000001","Iris-versicolor"
"15","1","0.12500000000000017","Iris-setosa","3","0.12500000000000017","Iris-setosa","2","0.25","Iris-setosa","7","0.6249999999999998","Iris-versicolor","4","0.875","Iris-setosa"
"16","4","0.24999999999999978","Iris-setosa","0","0.3250000000000002","Iris-setosa","2","0.5750000000000002","Iris-setosa","5","0.7000000000000002","Iris-versicolor","10","0.7750000000000001","Iris-versicolor"
"17","0","0.17499999999999977","Iris-setosa","2","0.27500000000000024","Iris-setosa","1","0.30000000000000004","Iris-setosa","3","0.4","Iris-setosa","4","0.5499999999999998","Iris-setosa"
"18","4","0.17500000000000004","Iris-setosa","0","0.30000000000000004","Iris-setosa","2","0.7000000000000002","Iris-setosa","10","0.7000000000000002","Iris-versicolor","5","0.7750000000000001","Iris-versicolor"
"19","0","0.1250000000000001","Iris-setosa","4","0.35","Iris-setosa","3","0.4499999999999998","Iris-setosa","5","0.85","Iris-versicolor","10","0.9249999999999999","Iris-versicolor"
"20","5","0.0","Iris-versicolor","6","0.32499999999999996","Iris-versicolor","9","0.32499999999999996","Iris-versicolor","10","0.32499999999999996","Iris-versicolor","8","0.3500000000000002","Iris-versicolor"
"21","6","0.0","Iris-versicolor","10","0.25","Iris-versicolor","5","0.32499999999999996","Iris-versicolor","9","0.6499999999999999","Iris-versicolor","8","0.6750000000000002","Iris-versicolor"
"22","7","0.0","Iris-versicolor","6","0.625","Iris-versicolor","10","0.625","Iris-versicolor","5","0.95","Iris-versicolor","9","1.275","Iris-versicolor"
"23","8","0.0","Iris-versicolor","9","0.1250000000000001","Iris-versicolor","5","0.3500000000000002","Iris-versicolor","11","0.47499999999999987","Iris-virginica","10","0.6750000000000002","Iris-versicolor"
"24","9","0.0","Iris-versicolor","8","0.1250000000000001","Iris-versicolor","11","0.5500000000000002","Iris-virginica","10","0.6499999999999999","Iris-versicolor","14","0.875","Iris-virginica"
"25","10","0.0","Iris-versicolor","6","0.25","Iris-versicolor","7","0.625","Iris-versicolor","9","0.6499999999999999","Iris-versicolor","8","0.6750000000000002","Iris-versicolor"
"26","8","0.17499999999999993","Iris-versicolor","9","0.2500000000000002","Iris-versicolor","11","0.29999999999999993","Iris-virginica","5","0.4750000000000001","Iris-versicolor","14","0.6249999999999998","Iris-virginica"
"27","11","0.15000000000000002","Iris-virginica","14","0.17499999999999982","Iris-virginica","13","0.19999999999999984","Iris-virginica","10","1.0","Iris-versicolor","7","1.625","Iris-versicolor"
"28","9","0.07500000000000007","Iris-versicolor","8","0.09999999999999987","Iris-versicolor","11","0.4750000000000001","Iris-virginica","10","0.6749999999999999","Iris-versicolor","14","0.7999999999999999","Iris-virginica"
"29","10","0.27500000000000013","Iris-versicolor","5","0.3999999999999999","Iris-versicolor","7","0.55","Iris-versicolor","3","0.5999999999999999","Iris-setosa","9","0.7249999999999999","Iris-versicolor"
"30","11","0.30000000000000016","Iris-virginica","13","0.4","Iris-virginica","12","0.42499999999999993","Iris-virginica","14","0.5250000000000001","Iris-virginica","10","0.8499999999999999","Iris-versicolor"
"31","14","0.07499999999999996","Iris-virginica","12","0.17500000000000016","Iris-virginica","11","0.29999999999999993","Iris-virginica","10","1.2","Iris-versicolor","7","1.825","Iris-versicolor"
"32","7","0.30000000000000004","Iris-versicolor","6","0.32499999999999996","Iris-versicolor","10","0.32499999999999996","Iris-versicolor","9","0.9749999999999999","Iris-versicolor","11","1.225","Iris-virginica"
"33","11","0.2749999999999999","Iris-virginica","13","0.32499999999999996","Iris-virginica","12","0.34999999999999987","Iris-virginica","14","0.45000000000000007","Iris-virginica","10","0.8749999999999999","Iris-versicolor"
"34","11","0.17499999999999993","Iris-virginica","13","0.32499999999999984","Iris-virginica","12","0.34999999999999976","Iris-virginica","14","0.3999999999999999","Iris-virginica","10","0.875","Iris-versicolor"
"35","6","0.34999999999999987","Iris-versicolor","5","0.4249999999999998","Iris-versicolor","9","0.44999999999999996","Iris-versicolor","8","0.4750000000000002","Iris-versicolor","10","0.4999999999999998","Iris-versicolor"
"36","8","0.22499999999999987","Iris-versicolor","11","0.25","Iris-virginica","9","0.35","Iris-versicolor","14","0.5749999999999998","Iris-virginica","13","0.5999999999999999","Iris-virginica"
"37","8","0.29999999999999993","Iris-versicolor","6","0.42500000000000004","Iris-versicolor","9","0.42500000000000004","Iris-versicolor","11","0.475","Iris-virginica","10","0.575","Iris-versicolor"
"38","8","0.2749999999999999","Iris-versicolor","11","0.34999999999999987","Iris-virginica","9","0.4","Iris-versicolor","13","0.5499999999999998","Iris-virginica","12","0.5749999999999997","Iris-virginica"
"39","10","0.15000000000000002","Iris-versicolor","6","0.29999999999999993","Iris-versicolor","7","0.5750000000000001","Iris-versicolor","9","0.6999999999999998","Iris-versicolor","8","0.7250000000000001","Iris-versicolor"
"40","13","0.24999999999999978","Iris-virginica","11","0.25","Iris-virginica","14","0.3749999999999999","Iris-virginica","8","0.575","Iris-versicolor","1","1.9250000000000003","Iris-setosa"
"41","10","0.17499999999999993","Iris-versicolor","6","0.17500000000000016","Iris-versicolor","7","0.5499999999999999","Iris-versicolor","9","0.725","Iris-versicolor","8","0.7500000000000002","Iris-versicolor"
"42","11","0.17499999999999993","Iris-virginica","8","0.29999999999999993","Iris-versicolor","14","0.4999999999999998","Iris-virginica","13","0.5249999999999998","Iris-virginica","7","1.4000000000000001","Iris-versicolor"
"43","9","0.32499999999999996","Iris-versicolor","8","0.4","Iris-versicolor","11","0.5750000000000001","Iris-virginica","10","0.6249999999999998","Iris-versicolor","13","0.6749999999999999","Iris-virginica"
"44","9","0.22499999999999998","Iris-versicolor","8","0.30000000000000004","Iris-versicolor","11","0.4750000000000001","Iris-virginica","10","0.5249999999999998","Iris-versicolor","13","0.675","Iris-virginica"
"45","11","0.22499999999999998","Iris-virginica","8","0.29999999999999993","Iris-versicolor","14","0.4999999999999998","Iris-virginica","13","0.5249999999999998","Iris-virginica","7","1.3","Iris-versicolor"
"46","6","0.34999999999999987","Iris-versicolor","5","0.4249999999999998","Iris-versicolor","9","0.44999999999999996","Iris-versicolor","8","0.4750000000000002","Iris-versicolor","10","0.4999999999999998","Iris-versicolor"
"47","8","0.15000000000000002","Iris-versicolor","9","0.17500000000000004","Iris-versicolor","5","0.3500000000000001","Iris-versicolor","11","0.42499999999999993","Iris-virginica","10","0.5250000000000001","Iris-versicolor"
"48","11","0.25","Iris-virginica","13","0.34999999999999987","Iris-virginica","12","0.3749999999999998","Iris-virginica","14","0.475","Iris-virginica","10","0.85","Iris-versicolor"
