ID,age,,education,education_cat,,,,,,capital_gain,capital_loss,hour_per_week,native_country,,
2905,31,4, Some-college,10,0,2,2,,0,0,1672,50,0,,
6846,58,4, Assoc-voc,11,3,5,3,,1,0,0,40,0,,
23873,57,7, Some-college,10,0,5,2,3,0,0,0,35,0,,
27746,36,2, HS-grad,9,0,9,2,,0,0,0,35,0,,
25673,42,4, HS-grad,9,6,6,5,,0,0,0,40,17,,
10811,21,4, Assoc-acdm,12,2,8,3,,1,0,0,25,0,,
2675,23,4, 7th-8th,4,2,2,3,,0,0,0,25,20,,
9296,36,4, Bachelors,13,2,4,3,,0,0,0,70,0,,
7733,43,4, Prof-school,15,6,0,3,,0,0,0,50,29,,
12547,39,4, Bachelors,13,0,4,2,,0,0,0,45,0,,
12148,17,4, 10th,6,2,2,1,,0,0,0,40,0,,
7088,45,4, Masters,14,1,4,3,,1,0,0,40,0,,
24586,29,7, 10th,6,2,2,1,3,1,0,0,40,0,,
26750,64,4, Masters,14,2,5,4,,1,0,0,8,0,,
19499,58,6, 10th,6,0,1,2,,0,0,0,40,0,,
21191,42,5, Masters,14,2,5,3,,1,0,0,40,0,,
27441,51,4, HS-grad,9,0,7,2,3,0,0,0,40,0,,
14765,40,5, Assoc-voc,11,1,4,5,,1,0,0,40,0,,
23331,21,, Some-college,10,2,,4,,0,0,0,10,0,,
9478,19,, Some-college,10,2,,1,,1,0,0,40,0,,
5851,18,4, 10th,6,2,2,1,,0,0,0,11,0,,
23493,37,4, Bachelors,13,2,9,3,,0,0,0,30,0,,
29451,43,5, Assoc-voc,11,0,4,2,,0,0,0,40,0,,
14517,19,4, HS-grad,9,0,1,2,,0,0,0,40,0,,
27289,24,4, Bachelors,13,2,3,1,3,0,0,0,40,0,,
22898,24,4, HS-grad,9,2,4,3,,0,0,0,50,0,,
30930,23,4, Assoc-voc,11,0,7,1,,1,0,0,30,0,,
20927,22,4, HS-grad,9,2,3,3,,0,0,0,40,0,,
2426,34,4, HS-grad,9,0,7,2,,0,0,0,44,0,,
8247,30,6, HS-grad,9,2,8,3,3,1,0,0,50,0,,
31691,40,5, Assoc-voc,11,0,12,2,,0,0,0,40,0,,
7063,31,6, Bachelors,13,2,4,1,,1,0,0,40,12,,
31186,45,4, Doctorate,16,0,5,2,1,0,0,0,45,11,,
16341,40,4, Some-college,10,0,5,0,,1,0,0,40,0,,
21171,26,4, HS-grad,9,2,6,1,3,0,0,0,28,0,,
30838,40,4, Masters,14,2,5,3,,0,0,0,35,0,,
32158,45,2, Some-college,10,0,4,2,,0,0,0,40,0,,
29860,52,5, Masters,14,0,5,2,,0,0,0,40,0,,
30499,20,4, Some-college,10,2,2,1,,0,0,0,33,,,
17197,57,4, Bachelors,13,0,3,2,,0,0,0,55,0,,
10328,48,2, Prof-school,15,1,5,5,,0,14084,0,63,0,,
13794,20,4, Some-college,10,2,2,1,,1,0,0,40,0,,
1388,40,2, Some-college,10,1,4,4,,0,0,1564,70,13,,
4195,18,4, 12th,8,2,1,1,,0,0,0,10,0,,
2489,52,2, 7th-8th,4,0,1,2,2,0,0,0,40,0,,
2541,63,4, Assoc-voc,11,3,8,5,,1,0,0,8,0,,
18947,29,4, Assoc-voc,11,2,4,3,,0,0,0,40,0,,
17704,23,4, Bachelors,13,2,5,3,,0,0,0,15,0,,
