"Trans. ID","Class","Class","Class","Class","Class"
"0","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"1","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"2","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"3","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"4","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"5","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"6","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"7","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"8","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"9","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"10","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"11","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"12","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"13","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"14","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"15","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"16","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"17","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"18","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-setosa"
"19","Iris-setosa","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"20","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"21","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"22","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa","Iris-versicolor"
"23","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"24","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"25","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"26","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"27","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"28","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"29","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-setosa"
"30","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"31","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"32","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"33","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"34","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"35","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"36","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"37","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"38","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"39","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-setosa","Iris-versicolor"
"40","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"41","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-setosa"
"42","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"43","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"44","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"45","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"46","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"47","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"48","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"49","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-setosa"
"50","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"51","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"52","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"53","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"54","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"55","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"56","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"57","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"58","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"59","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"60","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"61","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"62","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"63","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"64","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"65","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"66","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"67","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"68","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
"69","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-versicolor","Iris-versicolor"
