"Trans. ID","Class","Class","Class","Class","Class"
"0","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"1","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"2","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"3","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"4","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"5","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"6","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"7","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"8","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"9","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"10","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"11","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"12","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"13","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"14","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"15","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"16","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"17","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"18","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"19","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa","Iris-setosa"
"20","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"21","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"22","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-setosa","Iris-setosa"
"23","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-virginica"
"24","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"25","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"26","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-versicolor"
"27","Iris-virginica","Iris-virginica","Iris-virginica","Iris-versicolor","Iris-virginica"
"28","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"29","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"30","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-versicolor","Iris-virginica"
"31","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
"32","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"33","Iris-virginica","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-versicolor"
"34","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-virginica"
"35","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"36","Iris-virginica","Iris-versicolor","Iris-virginica","Iris-virginica","Iris-versicolor"
"37","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"38","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-versicolor"
"39","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"40","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-virginica"
"41","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"42","Iris-virginica","Iris-versicolor","Iris-virginica","Iris-versicolor","Iris-versicolor"
"43","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"44","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"45","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-virginica","Iris-virginica"
"46","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"47","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"48","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-versicolor"
"49","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-versicolor"
"50","Iris-virginica","Iris-versicolor","Iris-virginica","Iris-versicolor","Iris-virginica"
"51","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
"52","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
"53","Iris-versicolor","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
"54","Iris-virginica","Iris-versicolor","Iris-virginica","Iris-virginica","Iris-virginica"
"55","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
"56","Iris-versicolor","Iris-virginica","Iris-versicolor","Iris-versicolor","Iris-virginica"
"57","Iris-versicolor","Iris-virginica","Iris-versicolor","Iris-virginica","Iris-virginica"
"58","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
"59","Iris-virginica","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-virginica"
"60","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-versicolor"
"61","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
"62","Iris-virginica","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-virginica"
"63","Iris-virginica","Iris-virginica","Iris-virginica","Iris-versicolor","Iris-virginica"
"64","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-versicolor"
"65","Iris-versicolor","Iris-versicolor","Iris-versicolor","Iris-virginica","Iris-virginica"
"66","Iris-virginica","Iris-versicolor","Iris-virginica","Iris-virginica","Iris-virginica"
"67","Iris-versicolor","Iris-virginica","Iris-virginica","Iris-versicolor","Iris-virginica"
"68","Iris-virginica","Iris-versicolor","Iris-virginica","Iris-virginica","Iris-virginica"
"69","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica","Iris-virginica"
