Transaction ID,Weighted Class,Predicted Class,Actual Class,Posterior Probability,Posterior Probability with Weight
8215.0, >50K, <=50K, <=50K,1.0,0.0
4333.0, <=50K, <=50K, <=50K,0.8,0.8
12954.0, <=50K, <=50K, <=50K,0.8,0.8
9183.0, <=50K, <=50K, >50K,0.6,0.6
24392.0, <=50K, <=50K, <=50K,0.8,0.8
26160.0, <=50K, <=50K, <=50K,1.0,1.0
26460.0, >50K, <=50K, <=50K,0.8,0.2
22736.0, <=50K, <=50K, >50K,0.8,0.8
23758.0, <=50K, <=50K, <=50K,0.6,0.6
10442.0, <=50K, <=50K, <=50K,0.8,0.8
24919.0, <=50K, <=50K, <=50K,1.0,1.0
8953.0, <=50K, <=50K, >50K,0.6,0.6
22209.0, <=50K, <=50K, >50K,0.6,0.6
30504.0, <=50K, <=50K, <=50K,0.8,0.8
30556.0, >50K, <=50K, <=50K,0.8,0.2
22913.0, <=50K, <=50K, >50K,0.6,0.6
27270.0, >50K, <=50K, <=50K,0.8,0.2
23302.0, <=50K, <=50K, >50K,0.8,0.8
24480.0, <=50K, <=50K, <=50K,1.0,1.0
392.0, <=50K, <=50K, <=50K,1.0,1.0
5284.0, >50K, >50K, <=50K,0.2,0.2
22396.0, <=50K, <=50K, <=50K,0.6,0.6
13655.0, <=50K, <=50K, >50K,1.0,1.0
25846.0, >50K, <=50K, <=50K,0.6,0.4
26436.0, >50K, <=50K, <=50K,0.8,0.2
16569.0, <=50K, <=50K, <=50K,0.8,0.8
15670.0, >50K, <=50K, >50K,0.6,0.4
30810.0, <=50K, <=50K, <=50K,1.0,1.0
10924.0, <=50K, <=50K, <=50K,0.6,0.6
30508.0, <=50K, <=50K, <=50K,0.8,0.8
23236.0, <=50K, <=50K, <=50K,0.4,0.4
2461.0, >50K, <=50K, >50K,1.0,0.0
22437.0, <=50K, <=50K, <=50K,0.6,0.6
30738.0, <=50K, <=50K, <=50K,1.0,1.0
31153.0, <=50K, <=50K, <=50K,0.8,0.8
14035.0, <=50K, <=50K, <=50K,0.8,0.8
7627.0, <=50K, <=50K, <=50K,0.8,0.8
15700.0, <=50K, <=50K, <=50K,0.8,0.8
1374.0, <=50K, <=50K, <=50K,1.0,1.0
30002.0, <=50K, <=50K, <=50K,0.4,0.4
32111.0, <=50K, <=50K, <=50K,0.8,0.8
15964.0, <=50K, <=50K, <=50K,1.0,1.0
19660.0, <=50K, <=50K, <=50K,1.0,1.0
30344.0, <=50K, <=50K, >50K,0.8,0.8
14761.0, <=50K, <=50K, >50K,1.0,1.0
4172.0, <=50K, <=50K, <=50K,1.0,1.0
6357.0, <=50K, <=50K, <=50K,1.0,1.0
31958.0, <=50K, <=50K, <=50K,0.8,0.8
4874.0, <=50K, <=50K, >50K,1.0,1.0
22390.0, <=50K, <=50K, >50K,0.8,0.8
19054.0, <=50K, <=50K, <=50K,1.0,1.0
18920.0, <=50K, <=50K, <=50K,1.0,1.0
4533.0, <=50K, <=50K, <=50K,0.8,0.8
21508.0, <=50K, <=50K, <=50K,1.0,1.0
10679.0, <=50K, <=50K, <=50K,1.0,1.0
17552.0, <=50K, <=50K, >50K,0.8,0.8
2610.0, <=50K, <=50K, <=50K,0.6,0.6
17148.0, <=50K, <=50K, <=50K,0.8,0.8
12888.0, <=50K, <=50K, <=50K,1.0,1.0
24649.0, <=50K, <=50K, <=50K,1.0,1.0
31810.0, >50K, <=50K, >50K,0.6,0.4
25997.0, <=50K, <=50K, <=50K,0.8,0.8
18396.0, >50K, <=50K, <=50K,0.8,0.2
2213.0, <=50K, <=50K, <=50K,0.8,0.8
6075.0, >50K, <=50K, <=50K,0.8,0.2
26606.0, <=50K, <=50K, <=50K,0.8,0.8
16074.0, >50K, <=50K, <=50K,0.8,0.2
18109.0, <=50K, <=50K, >50K,1.0,1.0
23825.0, <=50K, <=50K, <=50K,0.6,0.6
13171.0, >50K, <=50K, >50K,1.0,0.0
30059.0, <=50K, <=50K, >50K,0.4,0.4
10299.0, >50K, <=50K, <=50K,0.6,0.4
27879.0, <=50K, <=50K, >50K,0.8,0.8
8150.0, >50K, <=50K, <=50K,1.0,0.0
3303.0, <=50K, <=50K, <=50K,0.6,0.6
29553.0, >50K, <=50K, <=50K,0.6,0.4
25765.0, >50K, <=50K, >50K,0.8,0.2
21833.0, <=50K, <=50K, <=50K,0.8,0.8
7503.0, <=50K, <=50K, <=50K,0.8,0.8
5725.0, <=50K, <=50K, <=50K,0.8,0.8
15161.0, <=50K, <=50K, >50K,0.8,0.8
9663.0, <=50K, <=50K, <=50K,0.6,0.6
25610.0, >50K, <=50K, <=50K,0.8,0.2
12985.0, >50K, <=50K, <=50K,0.8,0.2
22414.0, <=50K, <=50K, <=50K,0.6,0.6
28141.0, <=50K, <=50K, <=50K,0.6,0.6
28227.0, <=50K, <=50K, <=50K,0.6,0.6
13993.0, <=50K, <=50K, <=50K,0.8,0.8
18401.0, <=50K, <=50K, <=50K,0.8,0.8
17713.0, <=50K, <=50K, <=50K,0.8,0.8
22016.0, <=50K, <=50K, <=50K,0.6,0.6
2084.0, <=50K, <=50K, <=50K,0.8,0.8
15006.0, <=50K, <=50K, <=50K,0.6,0.6
5813.0, >50K, <=50K, <=50K,0.8,0.2
17076.0, <=50K, <=50K, <=50K,0.6,0.6
19430.0, <=50K, <=50K, <=50K,1.0,1.0
1487.0, <=50K, <=50K, <=50K,0.6,0.6
8370.0, >50K, <=50K, <=50K,1.0,0.0
28080.0, <=50K, <=50K, <=50K,0.6,0.6
5012.0, <=50K, <=50K, <=50K,0.8,0.8
2846.0, <=50K, <=50K, >50K,0.8,0.8
25051.0, <=50K, <=50K, <=50K,1.0,1.0
9562.0, <=50K, <=50K, >50K,0.6,0.6
7226.0, <=50K, <=50K, <=50K,0.8,0.8
11510.0, <=50K, <=50K, <=50K,0.4,0.4
3316.0, <=50K, <=50K, <=50K,0.4,0.4
1846.0, <=50K, <=50K, <=50K,0.8,0.8
6752.0, >50K, >50K, >50K,0.2,0.2
21200.0, <=50K, <=50K, <=50K,0.8,0.8
13877.0, <=50K, <=50K, <=50K,0.8,0.8
10363.0, <=50K, <=50K, >50K,0.8,0.8
4051.0, <=50K, <=50K, <=50K,0.8,0.8
5868.0, >50K, <=50K, >50K,1.0,0.0
17419.0, <=50K, <=50K, <=50K,0.8,0.8
3773.0, <=50K, <=50K, <=50K,0.8,0.8
25622.0, <=50K, <=50K, <=50K,0.8,0.8
8317.0, >50K, <=50K, <=50K,1.0,0.0
27070.0, <=50K, <=50K, <=50K,0.8,0.8
6038.0, >50K, <=50K, <=50K,0.8,0.2
25949.0, >50K, <=50K, >50K,0.8,0.2
31961.0, <=50K, <=50K, <=50K,0.8,0.8
28650.0, <=50K, <=50K, <=50K,0.8,0.8
29643.0, <=50K, <=50K, >50K,0.4,0.4
2442.0, <=50K, <=50K, <=50K,0.8,0.8
27725.0, <=50K, <=50K, >50K,0.6,0.6
4368.0, <=50K, <=50K, <=50K,0.8,0.8
16366.0, <=50K, <=50K, <=50K,1.0,1.0
12641.0, <=50K, <=50K, <=50K,0.6,0.6
11212.0, >50K, <=50K, >50K,0.8,0.2
8422.0, <=50K, <=50K, <=50K,0.8,0.8
20606.0, <=50K, <=50K, <=50K,1.0,1.0
25994.0, >50K, <=50K, <=50K,0.8,0.2
31907.0, >50K, <=50K, >50K,1.0,0.0
20144.0, <=50K, <=50K, <=50K,1.0,1.0
26840.0, <=50K, <=50K, <=50K,0.8,0.8
28729.0, <=50K, <=50K, >50K,0.6,0.6
10813.0, <=50K, <=50K, <=50K,1.0,1.0
4192.0, <=50K, <=50K, <=50K,1.0,1.0
12611.0, <=50K, <=50K, <=50K,0.6,0.6
19177.0, <=50K, <=50K, <=50K,1.0,1.0
19630.0, <=50K, <=50K, <=50K,1.0,1.0
3274.0, <=50K, <=50K, >50K,0.8,0.8
12430.0, <=50K, <=50K, >50K,0.8,0.8
20159.0, <=50K, <=50K, <=50K,1.0,1.0
1114.0, <=50K, <=50K, <=50K,1.0,1.0
20641.0, <=50K, <=50K, <=50K,1.0,1.0
7685.0, <=50K, <=50K, <=50K,1.0,1.0
16217.0, <=50K, <=50K, <=50K,1.0,1.0
21286.0, <=50K, <=50K, <=50K,0.8,0.8
28251.0, <=50K, <=50K, <=50K,0.8,0.8
132.0, <=50K, <=50K, <=50K,0.8,0.8
10004.0, >50K, <=50K, >50K,0.8,0.2
27817.0, <=50K, <=50K, >50K,0.6,0.6
7347.0, <=50K, <=50K, <=50K,1.0,1.0
31216.0, <=50K, <=50K, <=50K,0.8,0.8
3213.0, >50K, <=50K, >50K,0.8,0.2
158.0, <=50K, <=50K, <=50K,0.8,0.8
4872.0, <=50K, <=50K, <=50K,0.8,0.8
19983.0, <=50K, <=50K, <=50K,1.0,1.0
615.0, <=50K, <=50K, <=50K,1.0,1.0
258.0, <=50K, <=50K, <=50K,1.0,1.0
10819.0, <=50K, <=50K, <=50K,1.0,1.0
7051.0, <=50K, <=50K, <=50K,0.8,0.8
8436.0, <=50K, <=50K, <=50K,0.8,0.8
13826.0, <=50K, <=50K, <=50K,0.8,0.8
22277.0, <=50K, <=50K, >50K,0.8,0.8
6267.0, >50K, <=50K, <=50K,0.8,0.2
18419.0, <=50K, <=50K, >50K,0.8,0.8
13815.0, <=50K, <=50K, <=50K,1.0,1.0
17358.0, <=50K, <=50K, <=50K,0.8,0.8
29523.0, >50K, <=50K, >50K,0.6,0.4
9145.0, <=50K, <=50K, <=50K,0.4,0.4
6941.0, <=50K, <=50K, <=50K,0.8,0.8
