Transaction ID,Weighted Class,Predicted Class,Actual Class,Posterior Probability,Posterior Probability with Weight
0,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
1,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
2,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
3,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
4,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
5,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
6,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
7,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
8,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
9,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
10,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
11,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
12,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
13,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
14,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
15,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
16,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
17,Iris-setosa,Iris-setosa,Iris-setosa,1.0,1.0
18,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
19,Iris-versicolor,Iris-setosa,Iris-setosa,1.0,0.0
20,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
21,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
22,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.6,0.6
23,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.8,0.8
24,Iris-versicolor,Iris-virginica,Iris-versicolor,0.0,1.0
25,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
26,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.2,0.2
27,Iris-virginica,Iris-virginica,Iris-versicolor,0.8,0.8
28,Iris-virginica,Iris-virginica,Iris-versicolor,0.0,0.0
29,Iris-setosa,Iris-versicolor,Iris-versicolor,1.0,0.0
30,Iris-virginica,Iris-virginica,Iris-versicolor,0.4,0.4
31,Iris-virginica,Iris-virginica,Iris-versicolor,1.0,1.0
32,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
33,Iris-virginica,Iris-virginica,Iris-versicolor,0.4,0.4
34,Iris-virginica,Iris-virginica,Iris-versicolor,0.4,0.4
35,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
36,Iris-virginica,Iris-virginica,Iris-versicolor,0.6,0.6
37,Iris-virginica,Iris-versicolor,Iris-versicolor,1.0,0.0
38,Iris-virginica,Iris-virginica,Iris-versicolor,0.2,0.2
39,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
40,Iris-virginica,Iris-virginica,Iris-versicolor,0.4,0.4
41,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
42,Iris-virginica,Iris-virginica,Iris-versicolor,0.4,0.4
43,Iris-virginica,Iris-virginica,Iris-versicolor,0.0,0.0
44,Iris-virginica,Iris-virginica,Iris-versicolor,0.0,0.0
45,Iris-virginica,Iris-virginica,Iris-versicolor,0.6,0.6
46,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
47,Iris-virginica,Iris-versicolor,Iris-versicolor,1.0,0.0
48,Iris-virginica,Iris-virginica,Iris-versicolor,0.2,0.2
49,Iris-versicolor,Iris-versicolor,Iris-versicolor,1.0,1.0
50,Iris-virginica,Iris-virginica,Iris-virginica,0.6,0.6
51,Iris-virginica,Iris-virginica,Iris-virginica,1.0,1.0
52,Iris-virginica,Iris-virginica,Iris-virginica,1.0,1.0
53,Iris-virginica,Iris-virginica,Iris-virginica,0.8,0.8
54,Iris-virginica,Iris-virginica,Iris-virginica,0.8,0.8
55,Iris-virginica,Iris-virginica,Iris-virginica,1.0,1.0
56,Iris-versicolor,Iris-virginica,Iris-virginica,0.4,0.6
57,Iris-virginica,Iris-virginica,Iris-virginica,0.6,0.6
58,Iris-versicolor,Iris-virginica,Iris-virginica,1.0,0.0
59,Iris-virginica,Iris-virginica,Iris-virginica,0.4,0.4
60,Iris-virginica,Iris-virginica,Iris-virginica,0.8,0.8
61,Iris-virginica,Iris-virginica,Iris-virginica,1.0,1.0
62,Iris-virginica,Iris-virginica,Iris-virginica,0.6,0.6
63,Iris-virginica,Iris-virginica,Iris-virginica,0.8,0.8
64,Iris-virginica,Iris-virginica,Iris-virginica,0.8,0.8
65,Iris-virginica,Iris-virginica,Iris-virginica,0.4,0.4
66,Iris-virginica,Iris-virginica,Iris-virginica,0.8,0.8
67,Iris-virginica,Iris-virginica,Iris-virginica,0.6,0.6
68,Iris-virginica,Iris-virginica,Iris-virginica,0.8,0.8
69,Iris-virginica,Iris-virginica,Iris-virginica,1.0,1.0
