ID,age,workclass,fnlwgt,education,education_cat,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hour_per_week,native_country,class
9364,38,4,197077, HS-grad,9,0,2,2,0,0,0,0,40,0, <=50K
25668,31,4,101761, HS-grad,9,0,1,2,0,0,0,0,51,0, <=50K
13316,26,4,152855, HS-grad,9,2,4,1,4,1,0,0,40,20, <=50K
28750,50,2,99894, 5th-6th,3,2,0,3,1,1,0,0,15,0, <=50K
30619,35,4,412379, HS-grad,9,2,2,3,0,1,0,0,40,0, <=50K
1484,26,4,256263, HS-grad,9,2,1,3,0,0,0,0,25,0, <=50K
17193,18,4,95917, HS-grad,9,2,2,1,0,0,0,0,25,1, <=50K
29052,20,4,122971, Some-college,10,2,3,1,0,0,0,0,35,0, <=50K
17951,57,3,368797, HS-grad,9,0,4,2,0,0,0,0,40,0, <=50K
14864,38,4,194538, Assoc-voc,11,0,7,2,0,0,0,0,48,0, >50K
31146,28,4,194200, HS-grad,9,0,4,2,0,0,0,0,70,0, <=50K
14757,82,4,132870, HS-grad,9,3,4,3,0,1,0,4356,18,0, <=50K
22055,22,4,333158, HS-grad,9,2,7,3,0,1,0,0,48,0, <=50K
18639,36,4,469056, HS-grad,9,1,3,5,3,1,0,0,25,0, <=50K
3350,36,4,166988, Bachelors,13,0,5,0,0,1,0,0,40,0, >50K
29286,66,4,113323, Bachelors,13,0,5,2,0,0,20051,0,40,0, >50K
8009,20,4,138107, HS-grad,9,2,6,1,3,0,0,0,35,0, <=50K
1369,52,4,152234, HS-grad,9,0,4,2,1,0,99999,0,40,8, >50K
10672,17,4,33138, 12th,8,2,3,1,0,0,0,0,40,0, <=50K
31062,22, ?,243190, Some-college,10,2, ?,1,1,0,0,0,40,11, <=50K
28947,56,4,282023, Masters,14,0,5,2,0,0,0,0,40,0, >50K
22544,28,5,168524, Masters,14,0,5,0,0,1,7688,0,35,0, >50K
20842,51,4,29887, HS-grad,9,1,4,3,0,0,0,0,44,0, <=50K
32352,60,4,36077, 7th-8th,4,4,7,3,0,0,0,0,40,0, <=50K
21335,27,4,83517, HS-grad,9,2,10,1,0,0,0,0,60,0, <=50K
23053,68,4,170376, Bachelors,13,0,4,2,0,0,0,0,40,0, >50K
17702,28,4,223751, Some-college,10,0,8,2,0,0,0,0,40,0, >50K
19330,33,4,58582, HS-grad,9,0,7,2,0,0,0,0,40,0, <=50K
9408,42,4,175935, HS-grad,9,1,10,3,0,0,0,1980,46,0, <=50K
4786,25,4,228608, Some-college,10,2,1,4,1,1,0,0,40,3, <=50K
31329,31,4,59083, HS-grad,9,0,2,2,0,0,0,0,35,0, <=50K
29352,69,2,185039, HS-grad,9,0,4,2,0,0,9386,0,12,0, >50K
22468,48,4,166809, Bachelors,13,4,4,3,0,1,0,0,50,0, >50K
25875,38,2,342635, Bachelors,13,0,5,2,0,0,0,0,70,0, <=50K
801,43,4,154538, Assoc-acdm,12,1,1,3,0,0,0,0,40,0, <=50K
15541,50,2,192654, 10th,6,2,1,3,0,0,0,0,25,0, <=50K
24669,36,5,331902, Some-college,10,1,8,5,0,1,0,0,35,0, <=50K
7039,19,4,206874, Assoc-voc,11,2,8,1,3,1,0,0,40,0, <=50K
10349,26,4,190330, Bachelors,13,2,2,3,0,0,0,0,30,0, <=50K
7533,39,5,287031, Masters,14,0,5,2,0,0,0,0,45,0, >50K
4644,59,4,381851, 9th,5,3,2,5,3,1,0,0,40,0, <=50K
13482,21,7,173324, Some-college,10,2,2,1,3,0,0,0,20,0, <=50K
13454,25,4,172581, Bachelors,13,2,5,3,0,1,0,0,40,0, <=50K
11995,40,4,92717, HS-grad,9,2,2,5,3,1,0,0,40,0, <=50K
4958,25,4,108779, Masters,14,6,2,1,0,1,0,0,40,0, <=50K
4514,21,4,191243, Some-college,10,2,2,1,0,0,0,0,40,0, <=50K
7578,25,4,53903, Some-college,10,0,1,2,0,0,0,0,40,0, <=50K
15151,29,4,213842, Some-college,10,0,1,2,0,0,0,0,40,0, <=50K
8648,25,4,282612, Assoc-voc,11,2,0,5,3,1,0,0,40,0, <=50K
27890,17,4,56536, 11th,7,2,3,1,0,1,1055,0,18,7, <=50K
1491,32,4,402812, Some-college,10,0,3,2,0,0,0,0,48,0, <=50K
14376,25,6,366207, HS-grad,9,2,10,1,0,0,0,0,40,0, <=50K
25973,26,4,100147, Bachelors,13,0,4,0,0,1,0,0,45,0, >50K
3963,30,4,207253, Assoc-voc,11,0,1,2,0,0,0,0,40,2, <=50K
18235,53,2,33304, Prof-school,15,0,5,2,0,0,0,0,38,0, >50K
6714,48,4,205424, Bachelors,13,1,3,5,0,0,0,0,40,0, >50K
4146,36,4,95654, Bachelors,13,0,5,0,0,1,0,0,50,13, >50K
24486,63, ?,310396, 9th,5,0, ?,2,0,0,5178,0,40,0, >50K
29092,29,4,214702, HS-grad,9,2,1,3,0,0,0,1974,35,0, <=50K
12171,19,4,258633, Some-college,10,2,2,3,0,1,0,0,30,0, <=50K
21617,55,4,129762, HS-grad,9,1,8,5,0,1,0,0,40,0, <=50K
3083,74,3,162340, Some-college,10,3,4,5,0,0,0,0,40,0, <=50K
12479,41,7,70884, HS-grad,9,0,0,2,0,0,0,0,40,0, <=50K
8917,24,4,146706, Some-college,10,2,2,3,0,1,0,0,30,0, <=50K
26474,34,2,349148, Some-college,10,0,1,2,0,0,0,0,40,0, <=50K
14575,68, ?,191288, 7th-8th,4,3, ?,3,0,1,0,0,15,0, <=50K
26324,60,2,106118, HS-grad,9,0,3,2,0,0,0,0,70,0, >50K
26398,25,4,113654, HS-grad,9,6,4,5,0,1,0,0,37,0, <=50K
25811,47,4,99911, 12th,8,4,4,3,0,1,0,0,55,0, <=50K
14292,40,4,308027, HS-grad,9,3,2,5,3,1,0,0,40,0, <=50K
24514,32,4,198660, Some-college,10,0,1,2,0,0,0,0,40,0, <=50K
20444,23,4,378460, Some-college,10,2,5,1,0,0,0,0,20,0, <=50K
23074,34,4,29235, Assoc-acdm,12,1,5,3,0,1,0,0,40,0, <=50K
21,40,4,193524, Doctorate,16,0,5,2,0,0,0,0,60,0, >50K
15442,67,2,268514, Bachelors,13,1,5,3,0,0,0,0,40,0, <=50K
7151,23,4,200207, HS-grad,9,1,6,1,0,0,0,0,44,0, <=50K
12339,47,7,148171, Doctorate,16,1,5,5,0,0,0,0,50,23, >50K
19906,41,4,282964, Some-college,10,1,8,3,0,1,0,0,40,0, <=50K
11428,24,4,291355, Some-college,10,1,8,3,0,1,0,0,60,0, <=50K
3610,23,4,215616, HS-grad,9,2,5,3,0,1,0,0,40,1, <=50K
7914,29,5,187649, HS-grad,9,6,12,4,0,1,0,0,40,0, <=50K
21699,32, ?,256371, 12th,8,2, ?,1,3,1,0,0,40,0, <=50K
13565,21,4,203055, Some-college,10,2,7,5,0,0,0,0,40,0, <=50K
25600,30,6,319280, Some-college,10,2,1,3,0,0,0,0,40,0, <=50K
3341,24,4,215443, HS-grad,9,6,2,3,0,0,0,0,40,0, <=50K
14124,41, ?,339682, 5th-6th,3,0, ?,2,0,0,0,0,40,20, <=50K
31987,45,4,259463, Assoc-voc,11,0,5,2,0,0,0,0,40,0, >50K
29001,28,4,45613, Some-college,10,2,11,3,0,1,0,0,40,0, <=50K
28787,33,4,207301, Assoc-acdm,12,1,4,1,0,1,0,0,40,0, <=50K
5685,24,4,152189, HS-grad,9,2,1,1,0,0,0,0,40,0, <=50K
4244,24,4,263498, 11th,7,2,1,3,0,0,0,0,40,0, <=50K
21207,50,4,158680, Masters,14,0,4,2,0,0,0,0,50,0, >50K
11154,29,4,53181, Masters,14,0,5,2,0,0,0,0,55,0, >50K
21324,26,4,257405, 5th-6th,3,2,9,4,3,0,0,0,40,20, <=50K
10402,56,4,365050, 7th-8th,4,2,9,5,3,1,0,0,20,0, <=50K
6094,31,4,213750, Some-college,10,2,3,3,0,0,0,0,45,0, <=50K
25398,80, ?,91901, HS-grad,9,0, ?,2,0,0,0,0,25,0, <=50K
3039,44,5,33068, 12th,8,0,1,2,0,0,0,0,55,0, <=50K
15154,34,4,134737, Bachelors,13,2,3,1,0,0,0,0,40,0, >50K
16605,73,2,102510, 7th-8th,4,0,9,2,0,0,6418,0,99,0, >50K
19477,41,4,171546, Bachelors,13,0,0,2,0,0,0,0,45,0, >50K
10804,34,4,176711, HS-grad,9,2,8,1,0,0,0,0,40,0, <=50K
15860,22,4,202416, Bachelors,13,2,8,1,0,1,0,0,40,0, <=50K
30981,55,5,296085, Assoc-acdm,12,0,5,2,1,0,0,0,40,0, >50K
15674,27,4,242207, Bachelors,13,2,0,1,0,1,0,0,40,0, <=50K
28898,31,4,46807, Bachelors,13,2,0,3,0,0,0,0,40,0, <=50K
29679,22,4,314525, Bachelors,13,2,5,3,0,0,0,0,40,0, <=50K
19756,31,4,56510, Some-college,10,0,1,2,1,0,0,0,40,0, <=50K
13329,49,3,141058, Some-college,10,1,4,3,0,0,0,2339,50,0, <=50K
4774,44,2,27242, Some-college,10,2,9,1,0,0,0,0,60,0, <=50K
30352,68,4,171933, 7th-8th,4,0,1,2,0,0,0,0,40,0, <=50K
9775,34,4,344073, HS-grad,9,6,8,3,0,0,0,0,40,0, >50K
1971,35,4,330664, Some-college,10,2,3,3,0,0,0,0,40,0, <=50K
30752,27,4,44767, HS-grad,9,0,9,2,0,0,0,0,40,0, <=50K
23382,57,6,42298, Masters,14,0,4,2,3,0,15024,0,40,0, >50K
4617,36,4,130926, Bachelors,13,1,8,3,0,1,3674,0,40,0, <=50K
17822,57,3,165881, Prof-school,15,0,5,2,0,0,0,0,40,0, <=50K
30955,69,4,128348, Bachelors,13,0,4,2,3,0,9386,0,50,0, >50K
18995,55,4,419732, Some-college,10,1,2,5,0,1,0,0,38,0, <=50K
13124,43,5,33331, Masters,14,0,4,2,0,0,0,0,40,0, >50K
21019,23,4,346480, HS-grad,9,2,8,3,0,1,0,0,50,0, <=50K
10375,25,4,150553, 9th,5,4,8,5,1,1,0,0,40,19, <=50K
9983,33,4,409172, Bachelors,13,0,4,1,0,0,0,0,55,0, <=50K
7129,25,2,108001, 9th,5,2,1,3,0,0,0,0,15,0, <=50K
11986,43,5,35824, Masters,14,0,5,0,0,1,0,0,40,0, >50K
31925,25,4,74977, Some-college,10,0,8,0,0,1,0,0,40,0, <=50K
5002,55,4,151474, Bachelors,13,2,0,4,0,1,0,1590,38,0, <=50K
2953,22, ?,35448, HS-grad,9,0, ?,0,0,1,0,0,22,0, <=50K
4603,40,4,210275, HS-grad,9,6,10,5,3,1,0,0,40,0, <=50K
22379,44, ?,190205, 7th-8th,4,0, ?,2,0,0,0,0,25,0, <=50K
20084,56,5,170217, HS-grad,9,0,1,2,0,0,0,0,40,0, <=50K
28908,43,4,226902, Bachelors,13,1,7,4,0,0,0,0,40,0, <=50K
21825,34,7,327902, Bachelors,13,0,5,2,0,0,0,0,55,0, <=50K
23902,40,4,140559, HS-grad,9,0,11,0,0,1,0,0,45,0, <=50K
16899,27,4,114967, Bachelors,13,2,3,1,0,0,0,0,40,0, <=50K
21396,34,4,212163, Some-college,10,0,3,2,0,0,0,0,25,0, <=50K
26648,40,5,99679, Prof-school,15,2,4,3,0,0,0,0,60,0, >50K
25495,23,4,412248, Assoc-acdm,12,2,2,3,0,1,0,0,25,0, <=50K
31769,45,4,49298, Bachelors,13,2,0,1,0,0,0,0,40,0, <=50K
14248,54,5,238257, Bachelors,13,2,5,3,0,0,0,0,50,0, <=50K
10106,52,4,49243, HS-grad,9,0,7,2,0,0,0,0,40,0, <=50K
13276,27,4,177351, Bachelors,13,2,3,3,0,0,0,0,45,0, <=50K
340,45,4,261192, HS-grad,9,0,2,2,3,0,0,0,40,0, <=50K
5961,18,4,78817, HS-grad,9,2,8,1,0,1,0,0,20,0, <=50K
27319,40,4,141583, 10th,6,2,2,5,3,1,0,0,40,0, <=50K
7494,66,2,291362, Prof-school,15,0,5,2,0,0,0,0,50,0, <=50K
7751,23, ?,72953, HS-grad,9,2, ?,3,0,0,0,0,40,0, <=50K
2486,27,4,297296, HS-grad,9,0,1,2,0,0,0,0,40,0, <=50K
7965,23,4,361481, 10th,6,0,2,2,0,0,0,0,40, ?, <=50K
23730,41, ?,211873, Assoc-voc,11,0, ?,0,0,1,0,1628,5, ?, <=50K
27467,68, ?,152157, HS-grad,9,3, ?,3,0,1,0,0,20,0, <=50K
16125,51,4,194097, HS-grad,9,0,12,2,0,0,0,0,40,0, <=50K
12572,29,4,108574, Assoc-voc,11,2,11,1,0,1,0,0,40,0, <=50K
7987,51,6,190333, Some-college,10,0,1,2,0,0,0,0,40,0, <=50K
3601,53,4,209022, 11th,7,1,2,3,0,1,0,0,37,0, <=50K
12639,55,4,49996, 11th,7,2,7,3,3,1,0,0,40,0, <=50K
18534,49,4,165513, Some-college,10,1,6,5,3,1,0,0,40,0, <=50K
7029,47,4,221666, Some-college,10,1,0,5,0,1,0,0,40,0, <=50K
14412,20,4,88126, Some-college,10,2,8,1,0,0,0,0,9,2, <=50K
7064,38,4,26987, HS-grad,9,1,2,5,0,1,0,0,40,0, <=50K
16276,45,4,162606, HS-grad,9,1,3,3,0,1,0,0,35,0, <=50K
11467,42,4,157443, Bachelors,13,0,5,0,1,1,0,0,27,27, >50K
21059,44,2,172479, HS-grad,9,0,9,2,0,0,15024,0,60,0, >50K
12140,45,4,129336, Masters,14,0,8,2,0,0,0,0,45,0, >50K
11516,69,4,370837, Bachelors,13,1,6,3,0,0,0,0,40,0, <=50K
17290,44,4,262684, HS-grad,9,1,8,3,0,1,0,1504,45,0, <=50K
23984,59,4,200700, Bachelors,13,0,1,2,3,0,0,0,48,0, >50K
7163,42,6,284403, HS-grad,9,1,8,3,3,0,0,0,40,0, <=50K
13371,38, ?,70282, Masters,14,0, ?,0,3,1,15024,0,2,0, >50K
8607,30,3,124420, HS-grad,9,1,4,3,0,0,4650,0,40,0, <=50K
20406,26,4,244495, HS-grad,9,0,1,2,0,0,0,0,48,0, <=50K
5955,29,4,201454, Some-college,10,2,8,3,0,1,0,0,40,0, <=50K
27973,31,4,151053, Some-college,10,0,10,2,0,0,5178,0,40,0, >50K
24180,24,5,126613, Bachelors,13,2,5,1,0,1,0,0,20,0, <=50K
21644,34,4,169527, Some-college,10,0,3,0,0,1,4386,0,20,0, <=50K
20016,56,2,60166, 1st-4th,2,2,4,3,2,0,0,0,65,0, <=50K
12055,53,5,176557, Masters,14,1,5,5,0,1,0,0,50,0, <=50K
17159,20,4,352139, Some-college,10,1,2,1,0,1,0,0,29,0, <=50K
28325,32,4,172375, Bachelors,13,2,5,3,0,0,0,0,38,0, <=50K
18839,29,4,210498, HS-grad,9,0,1,2,0,0,0,0,40,0, <=50K
27193,34,4,167497, Some-college,10,0,4,0,0,1,7688,0,50,0, >50K
10118,20, ?,173945, 11th,7,0, ?,4,0,1,0,0,39,0, <=50K
22934,57,3,37345, Prof-school,15,0,5,2,0,0,0,0,36,0, >50K
8581,29,2,151476, Assoc-voc,11,2,8,3,0,1,2174,0,40,0, <=50K
19244,40,4,183404, Some-college,10,6,2,5,0,1,0,0,8,0, <=50K
15583,19,4,63814, Some-college,10,2,8,3,0,1,0,0,18,0, <=50K
32378,28,4,180299, HS-grad,9,0,10,2,0,0,0,0,70,0, <=50K
18279,55,4,49737, Some-college,10,0,3,2,0,0,0,0,50,0, <=50K
29563,25,4,363707, HS-grad,9,0,6,2,0,0,0,0,40,0, <=50K
29196,48,4,155509, HS-grad,9,2,8,3,3,1,0,0,16,37, <=50K
8876,36,4,194630, Some-college,10,1,3,5,0,1,0,0,40,0, <=50K
10407,31,4,103435, Bachelors,13,0,3,2,0,0,0,0,50,0, >50K
31905,55,4,100054, 10th,6,2,2,3,0,0,0,0,40,0, <=50K
20068,62,2,39630, HS-grad,9,0,10,2,0,0,0,0,48,0, <=50K
30339,33,7,119628, Doctorate,16,0,5,2,1,0,0,0,50,39, <=50K
15100,63,2,420629, Assoc-voc,11,0,2,2,0,0,0,0,45,0, <=50K
13168,34,4,56150, 11th,7,2,10,5,0,0,0,0,40,0, <=50K
21336,43,2,194726, HS-grad,9,1,1,1,0,0,0,0,35,0, <=50K
4931,34,5,303867, 9th,5,2,2,1,0,0,0,0,40,0, <=50K
18540,36,4,235371, HS-grad,9,2,3,3,0,1,0,0,40,0, <=50K
7726,53,4,30447, HS-grad,9,1,7,3,0,0,0,0,50,0, <=50K
31142,53,4,191565, 1st-4th,2,1,2,5,3,1,0,0,40,24, <=50K
19460,55,4,193130, HS-grad,9,0,6,2,0,0,0,1887,40,0, >50K
16666,65,4,420277, Some-college,10,0,12,2,0,0,0,0,40,0, <=50K
13027,79, ?,100881, Assoc-acdm,12,0, ?,0,0,1,0,0,2,0, >50K
28482,52,4,95704, 9th,5,0,6,2,0,0,0,0,40,0, <=50K
11781,43,7,129298, Masters,14,0,4,2,0,0,0,0,40,0, >50K
9326,46,2,320421, Bachelors,13,4,5,3,0,0,0,0,25,0, <=50K
5521,25,4,222254, HS-grad,9,2,2,3,3,1,0,0,40,0, <=50K
5571,42,4,266084, Some-college,10,0,1,2,0,0,7298,0,45,0, >50K
15595,34,4,202822, Masters,14,2,0,5,3,1,0,0,40, ?, <=50K
8184,47,4,256866, HS-grad,9,0,10,2,0,0,0,0,48,0, <=50K
6996,20, ?,168863, Some-college,10,2, ?,1,0,1,0,0,20,0, <=50K
21815,60,4,116707, 11th,7,1,12,3,0,0,0,0,40,0, <=50K
1542,62,4,162245, Prof-school,15,0,5,2,0,0,0,1628,70,0, <=50K
22670,36,4,116138, HS-grad,9,0,5,2,1,0,0,0,40,3, <=50K
11382,56,7,175057, Bachelors,13,0,4,2,0,0,0,0,40,0, <=50K
13227,37,4,75024, HS-grad,9,1,3,5,0,1,0,0,25,1, <=50K
26553,54,4,189607, Bachelors,13,2,2,1,3,1,0,0,36,0, <=50K
29718,49,5,215895, Masters,14,0,8,2,0,0,0,0,40,16, >50K
9138,66,4,166461, 11th,7,0,3,2,0,0,0,0,26,0, <=50K
31083,47,5,140644, Some-college,10,0,12,2,0,0,0,0,40,0, >50K
23556,21,4,180052, Some-college,10,2,10,1,0,0,0,0,30,0, <=50K
22196,48,4,192161, Bachelors,13,1,6,3,0,0,0,0,43,0, <=50K
1709,24,4,67222, Bachelors,13,2,7,3,1,0,0,0,45,11, <=50K
12780,50,4,172052, HS-grad,9,0,5,2,1,0,0,0,35,10, >50K
15452,20,4,131852, HS-grad,9,2,8,3,0,1,0,0,40,0, <=50K
18116,28,7,155397, Bachelors,13,2,4,3,0,0,0,0,55,0, <=50K
22577,33,4,275369, 7th-8th,4,6,6,3,3,0,0,0,35,28, <=50K
29606,61,4,178312, Assoc-acdm,12,0,4,2,0,0,0,0,42,0, <=50K
19992,20,4,117767, Some-college,10,2,8,1,0,0,0,0,25,0, <=50K
13851,45,4,265083, 5th-6th,3,1,11,5,0,1,0,0,35,20, <=50K
17525,26,6,52322, Bachelors,13,2,0,3,4,0,0,0,60,0, <=50K
1891,68,2,197015, HS-grad,9,0,9,2,0,0,0,0,45,0, <=50K
8433,40,4,139193, HS-grad,9,1,1,3,0,0,0,0,40,0, <=50K
12839,17,4,126771, 12th,8,2,5,1,0,0,0,0,7,0, <=50K
6393,33,7,208785, Some-college,10,6,5,3,0,0,10520,0,40,0, >50K
26892,45,4,140644, Doctorate,16,1,5,3,0,0,0,0,45,0, >50K
4942,33,3,132601, HS-grad,9,0,1,2,0,0,0,0,40,0, >50K
25969,34,4,148226, HS-grad,9,2,7,5,3,1,0,0,48,0, <=50K
17674,19,4,97261, HS-grad,9,2,9,3,0,0,0,0,40,0, <=50K
21407,37,4,329980, Some-college,10,0,1,2,0,0,0,0,40,0, <=50K
5550,51,5,33863, Masters,14,0,5,2,0,0,0,0,45,0, <=50K
20460,32,5,235109, Bachelors,13,0,8,0,0,1,0,0,40,0, <=50K
10079,48,4,401333, HS-grad,9,1,3,3,0,0,0,0,40,0, <=50K
23415,36,4,334366, 11th,7,6,4,3,0,1,0,0,32,0, <=50K
12892,51,4,41806, 11th,7,0,7,2,0,0,0,0,40,0, <=50K
31324,23,4,149204, Bachelors,13,2,4,1,0,0,0,0,40,0, <=50K
31260,42,4,180019, HS-grad,9,2,2,3,0,1,0,0,65,0, <=50K
23482,23,4,181820, HS-grad,9,6,1,1,0,0,0,0,53,0, <=50K
8311,69,4,113035, 1st-4th,2,3,11,3,3,1,0,0,4,0, <=50K
7166,20,7,340475, Some-college,10,2,8,1,0,1,0,0,10,0, <=50K
19161,36,2,48093, Some-college,10,0,3,2,0,0,0,0,92,0, <=50K
8644,43, ?,116632, Some-college,10,0, ?,2,0,0,0,0,45,0, >50K
17158,51,2,205100, HS-grad,9,0,4,0,0,1,0,0,40,0, <=50K
25370,41,2,375574, Some-college,10,0,3,2,0,0,0,0,60,20, >50K
5430,53,4,283602, Bachelors,13,1,3,3,0,1,13550,0,43,0, >50K
13064,20,7,334113, Some-college,10,0,2,2,0,0,0,0,40,0, <=50K
15234,42,2,53956, HS-grad,9,1,4,5,0,0,0,0,55,0, <=50K
28042,48,4,70668, HS-grad,9,0,7,0,0,1,0,0,50,0, <=50K
29902,41,4,197372, HS-grad,9,0,1,2,0,0,0,0,60,0, >50K
28488,45,4,192323, Assoc-acdm,12,0,1,2,0,0,0,0,66,35, <=50K
21776,61,2,390472, HS-grad,9,0,9,2,0,0,0,0,40,0, <=50K
30689,47,4,162494, Some-college,10,1,3,5,0,1,0,0,45,0, >50K
16680,20, ?,34321, Some-college,10,2, ?,1,0,1,0,0,30,0, <=50K
18620,63,2,52144, Some-college,10,3,4,3,0,0,0,0,35,0, <=50K
10862,43,4,174196, HS-grad,9,2,2,5,3,1,0,0,40,0, <=50K
11217,66,4,116468, Masters,14,0,5,2,0,0,2936,0,20,0, <=50K
647,31,5,402089, HS-grad,9,1,8,5,0,1,0,0,40,0, <=50K
16237,27,4,472070, Assoc-voc,11,2,7,3,0,0,0,0,40,0, <=50K
28127,34,4,212781, Bachelors,13,0,4,2,0,0,0,0,40,0, >50K
204,42,5,254817, Some-college,10,2,5,3,0,1,0,1340,40,0, <=50K
2327,37,4,200863, Some-college,10,3,1,5,0,0,0,0,40,0, <=50K
5303,21, ?,180339, Some-college,10,2, ?,1,0,1,0,0,25,0, <=50K
24872,27,5,170504, Bachelors,13,2,10,3,0,1,0,0,40,0, <=50K
23737,32,4,44675, Doctorate,16,0,5,2,0,0,0,0,65,0, >50K
31378,40,4,110622, Prof-school,15,0,8,4,1,1,0,0,40,15, <=50K
15060,21,4,243368, Preschool,1,2,9,3,0,0,0,0,50,20, <=50K
2402,20,4,137651, Some-college,10,2,7,1,2,0,0,0,40,0, <=50K
20946,19,4,231972, 11th,7,2,8,1,0,1,0,0,20,0, <=50K
24489,24,4,172496, Bachelors,13,2,0,3,0,0,0,0,55,0, <=50K
4426,29,4,209301, Bachelors,13,0,1,2,0,0,0,0,40,1, <=50K
12802,26,3,176981, Bachelors,13,2,8,1,0,1,0,0,50,0, <=50K
7263,31,4,191001, HS-grad,9,2,3,3,0,1,0,0,40,0, <=50K
1871,40,4,173607, 10th,6,0,10,2,0,0,0,0,40,0, <=50K
12778,48,4,247685, Some-college,10,1,1,3,0,0,3325,0,40,0, <=50K
2096,49,4,168211, Some-college,10,0,1,2,0,0,0,1485,40,0, >50K
7291,39,7,201105, Bachelors,13,0,4,0,0,1,0,0,55,0, >50K
1764,28,4,215873, 10th,6,2,7,1,3,0,0,0,45,0, <=50K
21632,71, ?,45801, HS-grad,9,0, ?,2,0,0,0,0,70,0, <=50K
9609,40,4,103474, HS-grad,9,0,3,0,0,1,0,0,30,0, <=50K
3251,49,7,203039, 11th,7,0,8,2,0,0,0,0,40,0, <=50K
2321,40,4,234633, Some-college,10,2,1,3,0,0,0,0,40,0, <=50K
28411,23,4,185106, HS-grad,9,2,6,1,3,0,0,0,40,0, <=50K
24338,62,5,68268, HS-grad,9,0,10,2,0,0,0,0,40,0, <=50K
